,facility_code,facility_name,hospital_type,owner,no_of_beds,no_of_cots,no_of_icu_beds,open_24_hours,open_weekends,operational_status,art,c-imci,fp,hbc,ipd,"core_health_workforce_per_10,000_population",total_population,county,constituency,nearest_town
0,19224,CDF Kiriari Dispensary,Dispensary,Ministry of Health,0,0,5.0,N,N,Operational,N,N,N,N,N,21.2,608599,embu,MANYATTA,Kiriari -market
1,19310,St Jude's Huruma Community Health Services,Medical Clinic,Private Practice - Unspecified,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,MATHARE,Kariobangi Market
2,14180,10 Engineer VCT,Dispensary,Armed Forces,0,0,0.0,N,N,Operational,Y,N,Y,Y,N,16.5,518580,laikipia,LAIKIPIA EAST,Nanyuki
3,17486,12 Engineers,Dispensary,Ministry of Health,0,0,19.0,N,N,Operational,N,N,N,N,N,22.8,2417735,kiambu,JUJA,0
4,18393,3Kl Maternity & Nursing Home,Nursing Home,Private Practice - Clinical Officer,7,0,0.0,Y,Y,Operational,N,N,N,N,N,24.6,1117840,kajiado,KAJIADO NORTH,Ongata Ronga
5,14181,3KR Health Centre,Health Centre,Armed Forces,20,12,19.0,Y,Y,Operational,Y,Y,Y,Y,Y,19.3,2162202,nakuru,NAKURU TOWN,Nakuru Town
6,11917,78 Tank Battalion Dispensary,Dispensary,Armed Forces,7,2,0.0,Y,Y,Operational,N,N,Y,Y,Y,22.0,268002,isiolo,ISIOLO NORTH,Isiolo
7,13043,7Kr Mrs Health Centre,Health Centre,Armed Forces,14,0,258.0,Y,Y,Operational,N,Y,Y,Y,Y,26.3,4397073,nairobi,LANG'ATA,Lang'ata Shopping Center
8,14182,8Th Street Clinic,Medical Clinic,Private Enterprise (Institution),0,0,0.0,N,Y,Operational,N,N,N,N,N,24.6,1117840,kajiado,KAJIADO NORTH,Isinya
9,18137,A To Z Quality Health Family Health Services,Medical Clinic,Private Practice - Nurse / Midwife,0,0,19.0,N,Y,Operational,N,N,N,N,N,19.3,2162202,nakuru,MOLO,Njoro Centre
10,20346,AAR Adams Health Centre,Medical Clinic,Private Practice - General Practitioner,0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,KIBRA,Adams
11,12861,AAR City Centre Clinic,Medical Clinic,Private Enterprise (Institution),0,0,258.0,N,Y,Operational,N,N,Y,N,Y,26.3,4397073,nairobi,STAREHE,Nairobi
12,16796,AAR Clinic Sarit Centre (Westlands),Medical Clinic,Private Enterprise (Institution),0,0,258.0,N,N,Operational,N,N,N,N,N,26.3,4397073,nairobi,WESTLANDS,Nairobi
13,18178,AAR Eldoret,Medical Clinic,Private Practice - General Practitioner,0,0,55.0,Y,Y,Operational,N,N,N,N,N,28.2,1163186,uasingishu,ELDORET NORTH,Eldoret
14,19958,AAR Gwh Health Care Ltd,Health Centre,Private Enterprise (Institution),0,0,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,DAGORETTI NORTH,0
15,20405,AAR Health Care,Health Centre,Private Practice - Medical Specialist,6,2,258.0,N,Y,Operational,N,N,N,N,N,26.3,4397073,nairobi,EMBAKASI EAST,Donholm
